"ClientId","DataExtracao","Score_Credito","Estado","Gênero","Idade","Tempo_Cliente","Limite_Credito_Mercado","Qte_Categorias","Usa_Cartao_Credito","Programa_Fidelidade","Sum_Pedidos_Acumulados","ClientId","DataUltimaTransacao"
345568,2019-06-30,619,São Paulo,Feminino,42,2,0.0,1,1,1,422.287,345568,2019-09-14
345569,2019-06-30,608,Rio de Janeiro,Feminino,41,1,838.0786,1,0,1,468.9274166666667,345569,2019-10-05
345570,2019-06-30,502,São Paulo,Feminino,42,8,1596.608,3,1,0,474.714875,345570,2019-08-20
345571,2019-06-30,699,São Paulo,Feminino,39,1,0.0,2,0,0,390.94429166666674,345571,2019-10-21
345572,2019-06-30,850,Rio de Janeiro,Feminino,43,2,1255.1082,1,1,1,329.51708333333335,345572,2019-10-26
345573,2019-06-30,645,Rio de Janeiro,Masculino,44,8,1137.5578,2,1,0,623.9862916666666,345573,2019-09-07
345574,2019-06-30,822,São Paulo,Masculino,50,7,0.0,2,1,1,41.92833333333333,345574,2019-10-07
345575,2019-06-30,376,Minas Gerais,Feminino,29,4,1150.4674,4,1,0,497.2786666666667,345575,2019-08-17
345576,2019-06-30,501,São Paulo,Masculino,44,4,1420.5107,2,0,1,312.2520833333333,345576,2019-10-05
345577,2019-06-30,684,São Paulo,Masculino,27,2,1346.0388,1,1,1,298.85720833333335,345577,2019-10-24
345578,2019-06-30,528,São Paulo,Masculino,31,6,1020.1672,2,0,0,334.088,345578,2019-10-14
345579,2019-06-30,497,Rio de Janeiro,Masculino,24,3,0.0,2,1,0,318.2917083333333,345579,2019-10-07
345580,2019-06-30,476,São Paulo,Feminino,34,10,0.0,2,1,0,109.42075,345580,2019-10-04
345581,2019-06-30,549,São Paulo,Feminino,25,5,0.0,2,0,0,795.2407916666667,345581,2019-10-28
345582,2019-06-30,635,Rio de Janeiro,Feminino,35,7,0.0,2,1,1,274.79854166666667,345582,2019-10-20
345583,2019-06-30,616,Minas Gerais,Masculino,45,3,1431.2941,2,0,1,268.03025,345583,2019-10-28
345584,2019-06-30,653,Minas Gerais,Masculino,58,1,1326.0288,1,1,0,21.240291666666668,345584,2019-09-21
345585,2019-06-30,549,Rio de Janeiro,Feminino,24,9,0.0,2,1,1,60.02670833333333,345585,2019-10-13
345586,2019-06-30,587,Rio de Janeiro,Masculino,45,6,0.0,1,0,0,661.1867083333334,345586,2019-10-20
345587,2019-06-30,726,São Paulo,Feminino,24,6,0.0,2,1,1,228.01679166666668,345587,2019-10-26
345588,2019-06-30,732,São Paulo,Masculino,41,8,0.0,2,1,1,712.0257083333332,345588,2019-10-09
345589,2019-06-30,636,Rio de Janeiro,Feminino,32,8,0.0,2,1,0,577.3144166666666,345589,2019-10-12
345590,2019-06-30,510,Rio de Janeiro,Feminino,38,4,0.0,1,1,0,495.4730416666666,345590,2019-07-18
345591,2019-06-30,669,São Paulo,Masculino,46,3,0.0,2,0,1,35.365625,345591,2019-10-20
345592,2019-06-30,846,São Paulo,Feminino,38,5,0.0,1,1,1,781.7339999999999,345592,2019-10-11
345593,2019-06-30,577,São Paulo,Masculino,25,3,0.0,2,0,1,518.7845416666668,345593,2019-10-10
345594,2019-06-30,756,Minas Gerais,Masculino,36,2,1368.1564,1,1,1,708.5081250000002,345594,2019-10-10
345595,2019-06-30,571,São Paulo,Masculino,44,9,0.0,2,0,0,160.1389583333333,345595,2019-10-03
345596,2019-06-30,574,Minas Gerais,Feminino,43,3,1413.4942999999996,1,1,1,417.447625,345596,2019-10-06
345597,2019-06-30,411,São Paulo,Masculino,29,0,596.9716999999998,2,1,1,222.8467083333333,345597,2019-10-29
345598,2019-06-30,591,Rio de Janeiro,Feminino,39,3,0.0,3,1,0,585.2890833333333,345598,2019-08-25
345599,2019-06-30,533,São Paulo,Masculino,36,7,853.117,1,0,1,653.049625,345599,2019-10-20
345600,2019-06-30,553,Minas Gerais,Masculino,41,9,1101.1254,2,0,0,341.2450416666666,345600,2019-10-09
345601,2019-06-30,520,Rio de Janeiro,Feminino,42,6,0.0,2,1,1,143.37729166666668,345601,2019-10-30
345602,2019-06-30,722,Rio de Janeiro,Feminino,29,9,0.0,2,1,1,591.8044583333333,345602,2019-10-28
345603,2019-06-30,475,São Paulo,Feminino,45,0,1342.6404,1,1,0,115.929125,345603,2019-07-14
345604,2019-06-30,490,Rio de Janeiro,Masculino,31,3,1452.6023,1,0,1,475.2782083333333,345604,2019-10-28
345605,2019-06-30,804,Rio de Janeiro,Masculino,33,7,765.4860000000001,1,0,1,410.2227083333333,345605,2019-10-22
345606,2019-06-30,850,São Paulo,Masculino,36,7,0.0,1,1,1,170.05374999999995,345606,2019-10-21
345607,2019-06-30,582,Minas Gerais,Masculino,41,6,703.4947999999998,2,0,1,741.9751666666667,345607,2019-10-12
345608,2019-06-30,472,Rio de Janeiro,Masculino,40,4,0.0,1,1,0,292.30925,345608,2019-10-19
345609,2019-06-30,465,São Paulo,Feminino,51,8,1225.2232,1,0,0,755.4068749999997,345609,2019-09-24
345610,2019-06-30,556,São Paulo,Feminino,61,2,1174.1935,1,1,1,392.307625,345610,2019-10-13
345611,2019-06-30,834,São Paulo,Feminino,49,2,1313.9456,1,0,0,809.8573333333335,345611,2019-09-29
345612,2019-06-30,660,Rio de Janeiro,Feminino,61,5,1559.3111,1,1,1,659.7432916666667,345612,2019-10-16
345613,2019-06-30,776,Minas Gerais,Feminino,32,4,1094.2113,2,1,1,527.1560833333334,345613,2019-10-11
345614,2019-06-30,829,Minas Gerais,Feminino,27,9,1120.4567,1,1,1,498.78420833333337,345614,2019-08-07
345615,2019-06-30,637,Minas Gerais,Feminino,39,9,1378.438,1,1,1,490.095,345615,2019-09-03
345616,2019-06-30,550,Minas Gerais,Masculino,38,2,1033.9138,1,0,1,378.658875,345616,2019-10-14
345617,2019-06-30,776,Minas Gerais,Feminino,37,2,1037.6922,2,1,0,808.7463333333333,345617,2019-10-13
345618,2019-06-30,698,Minas Gerais,Masculino,44,10,1163.6337,2,1,0,825.2465,345618,2019-10-24
345619,2019-06-30,585,Minas Gerais,Masculino,36,5,1460.5097,2,0,0,360.10237500000017,345619,2019-10-24
345620,2019-06-30,788,São Paulo,Feminino,33,5,0.0,2,0,0,487.409125,345620,2019-10-22
345621,2019-06-30,655,Minas Gerais,Masculino,41,8,1255.6197,1,0,0,683.5039166666667,345621,2019-07-22
345622,2019-06-30,601,Minas Gerais,Masculino,42,1,984.9572,1,1,0,166.72816666666668,345622,2019-09-03
345623,2019-06-30,619,São Paulo,Masculino,43,1,1252.1192,1,1,1,472.54370833333326,345623,2019-10-09
345624,2019-06-30,656,São Paulo,Masculino,45,5,1278.644,1,1,0,362.94820833333335,345624,2019-10-06
345625,2019-06-30,725,Minas Gerais,Masculino,19,0,758.882,1,0,0,190.05729166666669,345625,2019-10-17
345626,2019-06-30,511,Rio de Janeiro,Feminino,66,4,0.0,1,1,0,6.846291666666667,345626,2019-07-29
345627,2019-06-30,614,São Paulo,Masculino,51,4,406.8592,1,1,1,194.89700000000002,345627,2019-10-24
345628,2019-06-30,742,Minas Gerais,Masculino,35,5,1368.57,1,0,0,352.12320833333337,345628,2019-10-17
345629,2019-06-30,687,Minas Gerais,Feminino,27,9,1523.2888,2,0,0,527.0617500000002,345629,2019-10-19
345630,2019-06-30,555,Rio de Janeiro,Masculino,33,1,560.8469,2,0,0,744.9922083333333,345630,2019-10-11
345631,2019-06-30,684,Rio de Janeiro,Masculino,56,8,787.0716,1,1,1,414.15983333333327,345631,2019-10-12
345632,2019-06-30,603,Minas Gerais,Masculino,26,4,1091.6637,1,1,1,386.836125,345632,2019-10-13
345633,2019-06-30,751,Minas Gerais,Feminino,36,6,1698.3146,2,1,1,115.65983333333334,345633,2019-10-25
345634,2019-06-30,581,Minas Gerais,Feminino,34,1,1016.3304,1,1,0,460.1312916666667,345634,2019-10-03
345635,2019-06-30,735,Minas Gerais,Masculino,43,10,1231.8001,2,1,1,819.472,345635,2019-10-21
345636,2019-06-30,661,Minas Gerais,Feminino,35,5,1507.2553,2,0,1,473.57020833333337,345636,2019-10-18
345637,2019-06-30,675,São Paulo,Feminino,21,8,983.7326,1,1,0,75.84583333333335,345637,2019-10-06
345638,2019-06-30,738,Minas Gerais,Masculino,58,2,1337.4544,4,1,0,118.22441666666666,345638,2019-09-15
345639,2019-06-30,813,São Paulo,Masculino,29,6,0.0,1,1,0,141.47445833333333,345639,2019-10-28
345640,2019-06-30,657,Rio de Janeiro,Feminino,37,0,1636.0718,1,0,1,184.18145833333332,345640,2019-10-02
345641,2019-06-30,604,Minas Gerais,Feminino,25,5,1577.8084,2,1,1,243.44504166666667,345641,2019-10-05
345642,2019-06-30,519,São Paulo,Masculino,36,9,0.0,2,0,1,606.5099999999999,345642,2019-10-09
345643,2019-06-30,735,São Paulo,Feminino,21,1,1787.1819,2,1,0,93.28333333333336,345643,2019-10-11
345644,2019-06-30,664,São Paulo,Masculino,55,8,0.0,2,1,1,579.8401666666667,345644,2019-10-27
345645,2019-06-30,678,São Paulo,Feminino,32,9,0.0,1,1,1,617.5443333333334,345645,2019-10-14
345646,2019-06-30,757,Rio de Janeiro,Masculino,33,5,772.5322,1,0,1,809.3317916666667,345646,2019-10-03
345647,2019-06-30,416,Minas Gerais,Feminino,41,10,1221.8966,2,1,0,409.5900416666667,345647,2019-10-28
345648,2019-06-30,665,São Paulo,Feminino,34,1,966.4554,2,0,0,714.2235833333333,345648,2019-10-20
345649,2019-06-30,777,São Paulo,Feminino,32,2,0.0,1,1,0,568.5757916666666,345649,2019-08-08
345650,2019-06-30,543,São Paulo,Feminino,36,3,0.0,2,0,0,108.41495833333332,345650,2019-10-28
345651,2019-06-30,506,São Paulo,Feminino,34,4,903.0762,1,1,1,663.480375,345651,2019-10-13
345652,2019-06-30,493,São Paulo,Feminino,46,4,0.0,2,1,0,7.948583333333334,345652,2019-10-20
345653,2019-06-30,652,Rio de Janeiro,Feminino,75,10,0.0,2,1,1,477.815625,345653,2019-10-14
345654,2019-06-30,750,Rio de Janeiro,Masculino,22,3,1216.8182000000004,1,1,0,536.0139583333333,345654,2019-08-17
345655,2019-06-30,729,São Paulo,Masculino,30,9,0.0,2,1,0,632.7889583333333,345655,2019-10-20
345656,2019-06-30,646,São Paulo,Feminino,46,4,0.0,3,1,0,388.5475833333333,345656,2019-07-24
345657,2019-06-30,635,Minas Gerais,Feminino,28,3,816.2366999999998,2,1,1,653.2973333333333,345657,2019-10-17
345658,2019-06-30,647,Rio de Janeiro,Feminino,44,5,0.0,3,1,1,725.8550833333335,345658,2019-07-26
345659,2019-06-30,808,São Paulo,Masculino,45,7,1186.2655,2,1,0,613.0519166666667,345659,2019-10-18
345660,2019-06-30,524,São Paulo,Feminino,36,10,0.0,2,1,0,456.72737500000005,345660,2019-10-11
345661,2019-06-30,769,São Paulo,Masculino,29,8,0.0,2,1,1,717.8775416666666,345661,2019-10-03
345662,2019-06-30,730,Rio de Janeiro,Masculino,42,4,0.0,2,0,1,358.26029166666666,345662,2019-10-10
345663,2019-06-30,515,Rio de Janeiro,Masculino,35,10,1762.7395,1,0,1,505.3240833333333,345663,2019-10-17
345664,2019-06-30,773,Rio de Janeiro,Masculino,41,9,1028.2744,1,0,1,269.146875,345664,2019-10-24
345665,2019-06-30,814,Minas Gerais,Masculino,29,8,970.864,2,1,1,821.9838750000001,345665,2019-10-04
345666,2019-06-30,710,Rio de Janeiro,Masculino,22,8,0.0,2,0,0,415.18766666666664,345666,2019-10-02
345667,2019-06-30,413,São Paulo,Masculino,34,9,0.0,2,0,0,27.22575,345667,2019-10-07
345668,2019-06-30,665,São Paulo,Feminino,40,6,0.0,1,1,1,674.3667916666666,345668,2019-10-14
345669,2019-06-30,623,São Paulo,Feminino,44,6,0.0,2,0,0,696.510125,345669,2019-10-16
345670,2019-06-30,738,São Paulo,Masculino,31,9,826.7415,1,1,0,174.878,345670,2019-10-23
345671,2019-06-30,528,Rio de Janeiro,Masculino,36,7,0.0,2,1,0,252.23566666666665,345671,2019-10-10
345672,2019-06-30,670,Rio de Janeiro,Feminino,65,1,0.0,1,1,1,740.232,345672,2019-08-26
345673,2019-06-30,622,Rio de Janeiro,Feminino,46,4,1070.7327,2,1,1,129.10245833333335,345673,2019-08-19
345674,2019-06-30,582,Minas Gerais,Masculino,32,1,889.3861999999998,1,1,1,41.893875,345674,2019-10-28
345675,2019-06-30,785,Minas Gerais,Feminino,36,2,998.0685,1,0,1,154.06883333333332,345675,2019-10-28
345676,2019-06-30,605,Rio de Janeiro,Masculino,33,5,1500.928,1,0,0,299.42829166666667,345676,2019-10-15
345677,2019-06-30,479,Minas Gerais,Masculino,35,9,928.3389,1,1,0,414.37441666666666,345677,2019-07-16
345678,2019-06-30,685,Minas Gerais,Masculino,30,3,905.3681,1,0,1,262.8453333333333,345678,2019-10-14
345679,2019-06-30,538,Minas Gerais,Masculino,39,7,1080.5510000000004,2,1,0,113.46358333333332,345679,2019-10-06
345680,2019-06-30,562,São Paulo,Masculino,42,2,1002.3835,1,0,0,361.655875,345680,2019-10-29
345681,2019-06-30,675,Rio de Janeiro,Masculino,36,9,1061.9055,1,0,1,95.80966666666669,345681,2019-10-12
345682,2019-06-30,721,Minas Gerais,Masculino,28,9,1544.7554,2,0,1,422.08725,345682,2019-07-30
345683,2019-06-30,628,Minas Gerais,Feminino,30,9,1323.5129000000004,2,1,1,309.0380416666667,345683,2019-10-23
345684,2019-06-30,668,Minas Gerais,Feminino,37,6,1678.644,1,1,0,481.8262083333333,345684,2019-10-25
345685,2019-06-30,506,São Paulo,Feminino,41,1,0.0,2,1,0,132.35958333333332,345685,2019-10-09
345686,2019-06-30,524,Minas Gerais,Feminino,31,8,1078.1863,1,1,0,832.1891250000001,345686,2019-09-26
345687,2019-06-30,699,Minas Gerais,Masculino,34,4,1851.7381,2,1,0,503.477,345687,2019-10-29
345688,2019-06-30,828,São Paulo,Masculino,34,8,1294.3334,2,0,0,158.88237499999997,345688,2019-10-24
345689,2019-06-30,674,Rio de Janeiro,Masculino,39,6,1201.9342,1,0,0,417.21229166666666,345689,2019-10-29
345690,2019-06-30,656,São Paulo,Feminino,39,6,0.0,2,1,0,587.7911666666668,345690,2019-10-17
345691,2019-06-30,684,Minas Gerais,Feminino,48,10,1263.8442,1,1,1,825.539,345691,2019-10-25
345692,2019-06-30,625,São Paulo,Feminino,28,3,0.0,1,0,0,765.1933750000002,345692,2019-10-07
345693,2019-06-30,432,São Paulo,Masculino,42,9,1526.0345000000002,1,1,0,459.4385,345693,2019-07-04
345694,2019-06-30,549,São Paulo,Feminino,52,1,0.0,1,0,1,35.98354166666665,345694,2019-07-22
345695,2019-06-30,625,Minas Gerais,Masculino,56,0,1485.0724,1,1,0,195.1003333333333,345695,2019-09-24
345696,2019-06-30,828,São Paulo,Feminino,41,7,0.0,2,1,0,714.0782083333332,345696,2019-10-04
345697,2019-06-30,770,São Paulo,Masculino,24,9,1018.2707,1,1,0,696.9014583333334,345697,2019-10-18
345698,2019-06-30,758,São Paulo,Feminino,34,3,0.0,2,1,1,517.609,345698,2019-10-26
345699,2019-06-30,795,Minas Gerais,Feminino,33,9,1308.6243,1,1,1,478.8967083333334,345699,2019-10-01
