,ClientId,DataExtracao,Score_Credito,Estado,Gênero,Idade,Tempo_Cliente,Limite_Credito_Mercado,Qte_Categorias,Usa_Cartao_Credito,Programa_Fidelidade,Sum_Pedidos_Acumulados,DataUltimaTransacao,DiasDesdeUltTransacao,Target
0,345568,2019-06-30,619,São Paulo,Feminino,42,2,0.0,1,1,1,422.287,2019-09-14,46,1
1,345569,2019-06-30,608,Rio de Janeiro,Feminino,41,1,838.0786,1,0,1,468.9274166666667,2019-10-05,25,0
2,345570,2019-06-30,502,São Paulo,Feminino,42,8,1596.608,3,1,0,474.714875,2019-08-20,71,1
3,345571,2019-06-30,699,São Paulo,Feminino,39,1,0.0,2,0,0,390.94429166666674,2019-10-21,9,0
4,345572,2019-06-30,850,Rio de Janeiro,Feminino,43,2,1255.1082,1,1,1,329.51708333333335,2019-10-26,4,0
5,345573,2019-06-30,645,Rio de Janeiro,Masculino,44,8,1137.5578,2,1,0,623.9862916666666,2019-09-07,53,1
6,345574,2019-06-30,822,São Paulo,Masculino,50,7,0.0,2,1,1,41.92833333333333,2019-10-07,23,0
7,345575,2019-06-30,376,Minas Gerais,Feminino,29,4,1150.4674,4,1,0,497.2786666666667,2019-08-17,74,1
8,345576,2019-06-30,501,São Paulo,Masculino,44,4,1420.5107,2,0,1,312.2520833333333,2019-10-05,25,0
9,345577,2019-06-30,684,São Paulo,Masculino,27,2,1346.0388,1,1,1,298.85720833333335,2019-10-24,6,0
10,345578,2019-06-30,528,São Paulo,Masculino,31,6,1020.1672,2,0,0,334.088,2019-10-14,16,0
11,345579,2019-06-30,497,Rio de Janeiro,Masculino,24,3,0.0,2,1,0,318.2917083333333,2019-10-07,23,0
12,345580,2019-06-30,476,São Paulo,Feminino,34,10,0.0,2,1,0,109.42075,2019-10-04,26,0
13,345581,2019-06-30,549,São Paulo,Feminino,25,5,0.0,2,0,0,795.2407916666667,2019-10-28,2,0
14,345582,2019-06-30,635,Rio de Janeiro,Feminino,35,7,0.0,2,1,1,274.79854166666667,2019-10-20,10,0
15,345583,2019-06-30,616,Minas Gerais,Masculino,45,3,1431.2941,2,0,1,268.03025,2019-10-28,2,0
16,345584,2019-06-30,653,Minas Gerais,Masculino,58,1,1326.0288,1,1,0,21.240291666666668,2019-09-21,39,1
17,345585,2019-06-30,549,Rio de Janeiro,Feminino,24,9,0.0,2,1,1,60.02670833333333,2019-10-13,17,0
18,345586,2019-06-30,587,Rio de Janeiro,Masculino,45,6,0.0,1,0,0,661.1867083333334,2019-10-20,10,0
