ClientId,DataExtracao,Score_Credito,Estado,Gênero,Idade,Tempo_Cliente,Limite_Credito_Mercado,Qte_Categorias,Usa_Cartao_Credito,Programa_Fidelidade,Sum_Pedidos_Acumulados,DataUltimaTransacao,DiasDesdeUltTransacao,Target,Cluster,TARGET
345568,2019-06-30,619,São Paulo,Feminino,42,2,0.0,1,1,1,422.287,2019-09-14,46,1,1,1
345569,2019-06-30,608,Rio de Janeiro,Feminino,41,1,838.0786,1,0,1,468.9274166666667,2019-10-05,25,0,1,0
345570,2019-06-30,502,São Paulo,Feminino,42,8,1596.608,3,1,0,474.714875,2019-08-20,71,1,3,1
345571,2019-06-30,699,São Paulo,Feminino,39,1,0.0,2,0,0,390.94429166666674,2019-10-21,9,0,1,0
345572,2019-06-30,850,Rio de Janeiro,Feminino,43,2,1255.1082,1,1,1,329.51708333333335,2019-10-26,4,0,1,0
345573,2019-06-30,645,Rio de Janeiro,Masculino,44,8,1137.5578,2,1,0,623.9862916666666,2019-09-07,53,1,2,1
345574,2019-06-30,822,São Paulo,Masculino,50,7,0.0,2,1,1,41.92833333333333,2019-10-07,23,0,0,0
345575,2019-06-30,376,Minas Gerais,Feminino,29,4,1150.4674,4,1,0,497.2786666666667,2019-08-17,74,1,3,1
345576,2019-06-30,501,São Paulo,Masculino,44,4,1420.5107,2,0,1,312.2520833333333,2019-10-05,25,0,3,0
345577,2019-06-30,684,São Paulo,Masculino,27,2,1346.0388,1,1,1,298.85720833333335,2019-10-24,6,0,1,0
345578,2019-06-30,528,São Paulo,Masculino,31,6,1020.1672,2,0,0,334.088,2019-10-14,16,0,3,0
345579,2019-06-30,497,Rio de Janeiro,Masculino,24,3,0.0,2,1,0,318.2917083333333,2019-10-07,23,0,3,0
345580,2019-06-30,476,São Paulo,Feminino,34,10,0.0,2,1,0,109.42075,2019-10-04,26,0,3,0
345581,2019-06-30,549,São Paulo,Feminino,25,5,0.0,2,0,0,795.2407916666667,2019-10-28,2,0,3,0
345582,2019-06-30,635,Rio de Janeiro,Feminino,35,7,0.0,2,1,1,274.79854166666667,2019-10-20,10,0,2,0
345583,2019-06-30,616,Minas Gerais,Masculino,45,3,1431.2941,2,0,1,268.03025,2019-10-28,2,0,3,0
345584,2019-06-30,653,Minas Gerais,Masculino,58,1,1326.0288,1,1,0,21.240291666666668,2019-09-21,39,1,0,1
345585,2019-06-30,549,Rio de Janeiro,Feminino,24,9,0.0,2,1,1,60.02670833333333,2019-10-13,17,0,2,0
345586,2019-06-30,587,Rio de Janeiro,Masculino,45,6,0.0,1,0,0,661.1867083333334,2019-10-20,10,0,3,0
345587,2019-06-30,726,São Paulo,Feminino,24,6,0.0,2,1,1,228.01679166666668,2019-10-26,4,0,2,0
345588,2019-06-30,732,São Paulo,Masculino,41,8,0.0,2,1,1,712.0257083333332,2019-10-09,21,0,2,0
345589,2019-06-30,636,Rio de Janeiro,Feminino,32,8,0.0,2,1,0,577.3144166666666,2019-10-12,18,0,2,0
345590,2019-06-30,510,Rio de Janeiro,Feminino,38,4,0.0,1,1,0,495.4730416666666,2019-07-18,104,1,3,1
345591,2019-06-30,669,São Paulo,Masculino,46,3,0.0,2,0,1,35.365625,2019-10-20,10,0,1,0
345592,2019-06-30,846,São Paulo,Feminino,38,5,0.0,1,1,1,781.7339999999999,2019-10-11,19,0,1,0
345593,2019-06-30,577,São Paulo,Masculino,25,3,0.0,2,0,1,518.7845416666668,2019-10-10,20,0,3,0
345594,2019-06-30,756,Minas Gerais,Masculino,36,2,1368.1564,1,1,1,708.5081250000002,2019-10-10,20,0,1,0
345595,2019-06-30,571,São Paulo,Masculino,44,9,0.0,2,0,0,160.1389583333333,2019-10-03,27,0,2,0
345596,2019-06-30,574,Minas Gerais,Feminino,43,3,1413.4942999999996,1,1,1,417.447625,2019-10-06,24,0,3,0
345597,2019-06-30,411,São Paulo,Masculino,29,0,596.9716999999998,2,1,1,222.8467083333333,2019-10-29,1,0,3,0
345598,2019-06-30,591,Rio de Janeiro,Feminino,39,3,0.0,3,1,0,585.2890833333333,2019-08-25,66,1,3,1
345599,2019-06-30,533,São Paulo,Masculino,36,7,853.117,1,0,1,653.049625,2019-10-20,10,0,3,0
345600,2019-06-30,553,Minas Gerais,Masculino,41,9,1101.1254,2,0,0,341.2450416666666,2019-10-09,21,0,2,0
345601,2019-06-30,520,Rio de Janeiro,Feminino,42,6,0.0,2,1,1,143.37729166666668,2019-10-30,0,0,3,0
345602,2019-06-30,722,Rio de Janeiro,Feminino,29,9,0.0,2,1,1,591.8044583333333,2019-10-28,2,0,2,0
345603,2019-06-30,475,São Paulo,Feminino,45,0,1342.6404,1,1,0,115.929125,2019-07-14,108,1,3,1
345604,2019-06-30,490,Rio de Janeiro,Masculino,31,3,1452.6023,1,0,1,475.2782083333333,2019-10-28,2,0,3,0
345605,2019-06-30,804,Rio de Janeiro,Masculino,33,7,765.4860000000001,1,0,1,410.2227083333333,2019-10-22,8,0,2,0
345606,2019-06-30,850,São Paulo,Masculino,36,7,0.0,1,1,1,170.05374999999995,2019-10-21,9,0,2,0
345607,2019-06-30,582,Minas Gerais,Masculino,41,6,703.4947999999998,2,0,1,741.9751666666667,2019-10-12,18,0,3,0
345608,2019-06-30,472,Rio de Janeiro,Masculino,40,4,0.0,1,1,0,292.30925,2019-10-19,11,0,3,0
345609,2019-06-30,465,São Paulo,Feminino,51,8,1225.2232,1,0,0,755.4068749999997,2019-09-24,36,1,3,1
345610,2019-06-30,556,São Paulo,Feminino,61,2,1174.1935,1,1,1,392.307625,2019-10-13,17,0,0,0
345611,2019-06-30,834,São Paulo,Feminino,49,2,1313.9456,1,0,0,809.8573333333335,2019-09-29,31,1,1,1
345612,2019-06-30,660,Rio de Janeiro,Feminino,61,5,1559.3111,1,1,1,659.7432916666667,2019-10-16,14,0,0,0
345613,2019-06-30,776,Minas Gerais,Feminino,32,4,1094.2113,2,1,1,527.1560833333334,2019-10-11,19,0,1,0
345614,2019-06-30,829,Minas Gerais,Feminino,27,9,1120.4567,1,1,1,498.78420833333337,2019-08-07,84,1,2,1
345615,2019-06-30,637,Minas Gerais,Feminino,39,9,1378.438,1,1,1,490.095,2019-09-03,57,1,2,1
345616,2019-06-30,550,Minas Gerais,Masculino,38,2,1033.9138,1,0,1,378.658875,2019-10-14,16,0,3,0
345617,2019-06-30,776,Minas Gerais,Feminino,37,2,1037.6922,2,1,0,808.7463333333333,2019-10-13,17,0,1,0
345618,2019-06-30,698,Minas Gerais,Masculino,44,10,1163.6337,2,1,0,825.2465,2019-10-24,6,0,2,0
345619,2019-06-30,585,Minas Gerais,Masculino,36,5,1460.5097,2,0,0,360.10237500000017,2019-10-24,6,0,3,0
345620,2019-06-30,788,São Paulo,Feminino,33,5,0.0,2,0,0,487.409125,2019-10-22,8,0,1,0
345621,2019-06-30,655,Minas Gerais,Masculino,41,8,1255.6197,1,0,0,683.5039166666667,2019-07-22,100,1,2,1
345622,2019-06-30,601,Minas Gerais,Masculino,42,1,984.9572,1,1,0,166.72816666666668,2019-09-03,57,1,1,1
345623,2019-06-30,619,São Paulo,Masculino,43,1,1252.1192,1,1,1,472.54370833333326,2019-10-09,21,0,1,0
345624,2019-06-30,656,São Paulo,Masculino,45,5,1278.644,1,1,0,362.94820833333335,2019-10-06,24,0,0,0
345625,2019-06-30,725,Minas Gerais,Masculino,19,0,758.882,1,0,0,190.05729166666669,2019-10-17,13,0,1,0
345626,2019-06-30,511,Rio de Janeiro,Feminino,66,4,0.0,1,1,0,6.846291666666667,2019-07-29,93,1,0,1
345627,2019-06-30,614,São Paulo,Masculino,51,4,406.8592,1,1,1,194.897,2019-10-24,6,0,0,0
345628,2019-06-30,742,Minas Gerais,Masculino,35,5,1368.57,1,0,0,352.12320833333337,2019-10-17,13,0,1,0
345629,2019-06-30,687,Minas Gerais,Feminino,27,9,1523.2888,2,0,0,527.0617500000002,2019-10-19,11,0,2,0
345630,2019-06-30,555,Rio de Janeiro,Masculino,33,1,560.8469,2,0,0,744.9922083333333,2019-10-11,19,0,3,0
345631,2019-06-30,684,Rio de Janeiro,Masculino,56,8,787.0716,1,1,1,414.15983333333327,2019-10-12,18,0,0,0
345632,2019-06-30,603,Minas Gerais,Masculino,26,4,1091.6637,1,1,1,386.836125,2019-10-13,17,0,3,0
345633,2019-06-30,751,Minas Gerais,Feminino,36,6,1698.3146,2,1,1,115.65983333333334,2019-10-25,5,0,2,0
345634,2019-06-30,581,Minas Gerais,Feminino,34,1,1016.3304,1,1,0,460.1312916666667,2019-10-03,27,0,3,0
345635,2019-06-30,735,Minas Gerais,Masculino,43,10,1231.8001,2,1,1,819.472,2019-10-21,9,0,2,0
345636,2019-06-30,661,Minas Gerais,Feminino,35,5,1507.2553,2,0,1,473.57020833333337,2019-10-18,12,0,1,0
345637,2019-06-30,675,São Paulo,Feminino,21,8,983.7326,1,1,0,75.84583333333335,2019-10-06,24,0,2,0
345638,2019-06-30,738,Minas Gerais,Masculino,58,2,1337.4544,4,1,0,118.22441666666666,2019-09-15,45,1,0,1
345639,2019-06-30,813,São Paulo,Masculino,29,6,0.0,1,1,0,141.47445833333333,2019-10-28,2,0,2,0
345640,2019-06-30,657,Rio de Janeiro,Feminino,37,0,1636.0718,1,0,1,184.18145833333327,2019-10-02,28,0,1,0
345641,2019-06-30,604,Minas Gerais,Feminino,25,5,1577.8084,2,1,1,243.44504166666667,2019-10-05,25,0,3,0
345642,2019-06-30,519,São Paulo,Masculino,36,9,0.0,2,0,1,606.5099999999999,2019-10-09,21,0,3,0
345643,2019-06-30,735,São Paulo,Feminino,21,1,1787.1819,2,1,0,93.28333333333336,2019-10-11,19,0,1,0
345644,2019-06-30,664,São Paulo,Masculino,55,8,0.0,2,1,1,579.8401666666667,2019-10-27,3,0,0,0
345645,2019-06-30,678,São Paulo,Feminino,32,9,0.0,1,1,1,617.5443333333334,2019-10-14,16,0,2,0
345646,2019-06-30,757,Rio de Janeiro,Masculino,33,5,772.5322,1,0,1,809.3317916666667,2019-10-03,27,0,1,0
345647,2019-06-30,416,Minas Gerais,Feminino,41,10,1221.8966,2,1,0,409.5900416666667,2019-10-28,2,0,3,0
345648,2019-06-30,665,São Paulo,Feminino,34,1,966.4554,2,0,0,714.2235833333333,2019-10-20,10,0,1,0
345649,2019-06-30,777,São Paulo,Feminino,32,2,0.0,1,1,0,568.5757916666666,2019-08-08,83,1,1,1
345650,2019-06-30,543,São Paulo,Feminino,36,3,0.0,2,0,0,108.41495833333332,2019-10-28,2,0,3,0
345651,2019-06-30,506,São Paulo,Feminino,34,4,903.0762,1,1,1,663.480375,2019-10-13,17,0,3,0
345652,2019-06-30,493,São Paulo,Feminino,46,4,0.0,2,1,0,7.948583333333334,2019-10-20,10,0,3,0
345653,2019-06-30,652,Rio de Janeiro,Feminino,75,10,0.0,2,1,1,477.815625,2019-10-14,16,0,0,0
345654,2019-06-30,750,Rio de Janeiro,Masculino,22,3,1216.8182000000004,1,1,0,536.0139583333333,2019-08-17,74,1,1,1
345655,2019-06-30,729,São Paulo,Masculino,30,9,0.0,2,1,0,632.7889583333333,2019-10-20,10,0,2,0
345656,2019-06-30,646,São Paulo,Feminino,46,4,0.0,3,1,0,388.5475833333333,2019-07-24,98,1,1,1
345657,2019-06-30,635,Minas Gerais,Feminino,28,3,816.2366999999998,2,1,1,653.2973333333333,2019-10-17,13,0,1,0
345658,2019-06-30,647,Rio de Janeiro,Feminino,44,5,0.0,3,1,1,725.8550833333335,2019-07-26,96,1,1,1
345659,2019-06-30,808,São Paulo,Masculino,45,7,1186.2655,2,1,0,613.0519166666667,2019-10-18,12,0,2,0
345660,2019-06-30,524,São Paulo,Feminino,36,10,0.0,2,1,0,456.72737500000005,2019-10-11,19,0,2,0
345661,2019-06-30,769,São Paulo,Masculino,29,8,0.0,2,1,1,717.8775416666666,2019-10-03,27,0,2,0
345662,2019-06-30,730,Rio de Janeiro,Masculino,42,4,0.0,2,0,1,358.26029166666666,2019-10-10,20,0,1,0
345663,2019-06-30,515,Rio de Janeiro,Masculino,35,10,1762.7395,1,0,1,505.3240833333333,2019-10-17,13,0,2,0
345664,2019-06-30,773,Rio de Janeiro,Masculino,41,9,1028.2744,1,0,1,269.146875,2019-10-24,6,0,2,0
345665,2019-06-30,814,Minas Gerais,Masculino,29,8,970.864,2,1,1,821.9838750000001,2019-10-04,26,0,2,0
345666,2019-06-30,710,Rio de Janeiro,Masculino,22,8,0.0,2,0,0,415.1876666666666,2019-10-02,28,0,2,0
345667,2019-06-30,413,São Paulo,Masculino,34,9,0.0,2,0,0,27.22575,2019-10-07,23,0,3,0
