,Idade,Qte_Categorias,Limite_Credito_Mercado,Estado,ClientId,Target
9254,32,2,0.0,São Paulo,354822,0
1561,42,2,1196.246,Minas Gerais,347129,0
1670,24,1,1147.3992,Rio de Janeiro,347238,1
6087,27,1,1356.37,São Paulo,351655,1
6669,56,1,1421.4732,São Paulo,352237,1
5933,41,1,1202.4349,São Paulo,351501,1
8829,40,2,0.0,São Paulo,354397,0
7945,45,2,0.0,São Paulo,353513,0
3508,34,2,0.0,São Paulo,349076,0
2002,74,2,0.0,São Paulo,347570,0
5866,53,2,1238.4536,São Paulo,351434,1
168,39,2,0.0,Rio de Janeiro,345736,1
2588,32,1,0.0,São Paulo,348156,0
5905,30,2,0.0,São Paulo,351473,0
9529,41,2,0.0,São Paulo,355097,0
6384,31,2,0.0,São Paulo,351952,0
7824,44,1,1334.4497,São Paulo,353392,0
9779,40,1,1213.5599,Rio de Janeiro,355347,0
4629,49,1,986.4955,Minas Gerais,350197,1
8560,28,1,710.9722999999998,Minas Gerais,354128,0
9291,36,2,1175.5905,São Paulo,354859,0
6874,28,2,0.0,São Paulo,352442,0
6521,35,2,958.5339,Minas Gerais,352089,0
8979,35,1,1210.309,São Paulo,354547,0
6647,37,1,0.0,São Paulo,352215,0
9825,28,1,1263.1526,Minas Gerais,355393,1
210,33,2,1618.1464,Minas Gerais,345778,0
5278,31,1,1136.8863,Minas Gerais,350846,1
1919,56,1,0.0,São Paulo,347487,1
718,45,2,0.0,São Paulo,346286,0
4868,37,1,0.0,São Paulo,350436,0
7834,56,1,0.0,São Paulo,353402,1
1298,30,1,576.5749,São Paulo,346866,0
9193,26,1,1499.8939,São Paulo,354761,0
4617,24,2,0.0,São Paulo,350185,0
3128,34,2,1381.9013,Rio de Janeiro,348696,0
9795,43,2,0.0,São Paulo,355363,0
3979,40,1,0.0,São Paulo,349547,1
9924,50,1,1079.5939,Minas Gerais,355492,1
8317,27,2,0.0,São Paulo,353885,0
4393,38,2,1798.8641,Minas Gerais,349961,0
1287,39,1,1619.9389,Rio de Janeiro,346855,0
4355,39,1,802.9381,São Paulo,349923,0
7013,34,2,0.0,São Paulo,352581,0
3885,56,2,1032.4486,Minas Gerais,349453,1
5749,29,2,0.0,São Paulo,351317,0
9169,45,2,0.0,São Paulo,354737,0
2407,43,1,1189.9484,Minas Gerais,347975,1
2013,35,2,1364.9612,Minas Gerais,347581,0
5153,29,2,0.0,São Paulo,350721,0
8551,32,2,0.0,Rio de Janeiro,354119,0
4376,34,2,0.0,São Paulo,349944,0
8822,64,2,0.0,São Paulo,354390,0
4273,75,1,871.4085,São Paulo,349841,0
5825,62,1,1080.0464,Rio de Janeiro,351393,1
6699,41,2,1503.0065,São Paulo,352267,0
7243,77,2,0.0,São Paulo,352811,0
449,47,2,1272.9934,Rio de Janeiro,346017,0
2227,58,1,983.0851,Rio de Janeiro,347795,0
5756,28,2,1174.6603,Minas Gerais,351324,0
810,35,2,0.0,São Paulo,346378,0
4180,36,2,1067.0294,Minas Gerais,349748,0
9000,37,1,0.0,São Paulo,354568,0
5438,34,1,1605.1536999999996,São Paulo,351006,0
7533,51,3,1084.4923,Minas Gerais,353101,1
6369,38,2,0.0,São Paulo,351937,0
8416,32,1,990.9245,Minas Gerais,353984,0
1477,37,1,0.0,São Paulo,347045,0
1790,74,2,1080.7136,Minas Gerais,347358,0
2008,43,2,996.1092,São Paulo,347576,0
682,41,1,1334.3259,Minas Gerais,346250,0
2816,25,2,0.0,São Paulo,348384,0
9431,24,1,1722.3193,Rio de Janeiro,354999,0
3774,61,1,0.0,São Paulo,349342,1
6495,39,3,833.4889,Minas Gerais,352063,1
8878,47,1,1520.7693,Minas Gerais,354446,1
7361,36,1,0.0,São Paulo,352929,1
8366,41,2,0.0,São Paulo,353934,0
7474,50,1,1654.3826,São Paulo,353042,1
46,27,1,1120.4567,Minas Gerais,345614,1
30,39,3,0.0,Rio de Janeiro,345598,1
8250,35,2,0.0,São Paulo,353818,0
6935,33,2,0.0,São Paulo,352503,0
1468,52,1,0.0,São Paulo,347036,1
1665,42,2,1297.7672,São Paulo,347233,0
1416,33,2,0.0,Rio de Janeiro,346984,0
6480,24,2,1149.4876,São Paulo,352048,0
4852,35,2,0.0,Rio de Janeiro,350420,0
2470,31,1,1397.9963,Rio de Janeiro,348038,0
4373,45,1,0.0,Rio de Janeiro,349941,1
8524,34,2,0.0,São Paulo,354092,0
429,40,1,992.8263,Minas Gerais,345997,1
5244,43,2,0.0,Rio de Janeiro,350812,0
2119,29,2,0.0,São Paulo,347687,0
385,66,1,0.0,São Paulo,345953,0
1945,22,1,1300.5623,São Paulo,347513,1
4224,47,1,0.0,Rio de Janeiro,349792,1
473,28,2,0.0,São Paulo,346041,0
2129,34,1,1000.5477,São Paulo,347697,0
6556,51,1,877.7983,Minas Gerais,352124,1
6998,47,1,0.0,Rio de Janeiro,352566,1
1055,74,2,0.0,Rio de Janeiro,346623,0
3274,31,1,0.0,São Paulo,348842,1
4961,45,2,1301.7082,Minas Gerais,350529,0
5363,51,3,1355.0658,Rio de Janeiro,350931,1
5816,43,1,923.5036,São Paulo,351384,0
811,65,2,1347.1470000000004,Rio de Janeiro,346379,0
4573,24,1,345.4782,São Paulo,350141,0
6137,51,1,0.0,São Paulo,351705,1
2388,34,2,888.1555999999998,Minas Gerais,347956,1
9648,40,1,962.0232,Minas Gerais,355216,0
6225,32,2,1239.386,Minas Gerais,351793,0
111,39,2,1080.5510000000004,Minas Gerais,345679,0
8909,29,2,0.0,Rio de Janeiro,354477,0
1745,30,1,1162.9529,São Paulo,347313,0
7851,68,1,1125.9585,Minas Gerais,353419,1
1452,35,1,995.8743,São Paulo,347020,1
319,24,1,957.4175,São Paulo,345887,0
8593,36,1,1154.6202,Minas Gerais,354161,0
3333,41,1,924.6758,Minas Gerais,348901,0
1922,36,3,1085.4616,São Paulo,347490,1
5865,39,1,0.0,São Paulo,351433,0
9528,34,1,0.0,São Paulo,355096,0
3685,39,2,0.0,Rio de Janeiro,349253,0
4275,32,2,1780.115,São Paulo,349843,0
4889,41,3,1091.5396,Minas Gerais,350457,1
5225,66,2,0.0,São Paulo,350793,0
7472,36,2,839.4712,São Paulo,353040,0
3605,34,1,1294.1782,Minas Gerais,349173,0
1052,38,1,982.0577,Minas Gerais,346620,0
4156,43,2,1253.388,Minas Gerais,349724,0
9676,34,1,0.0,São Paulo,355244,0
99,34,2,0.0,São Paulo,345667,0
7508,54,2,1186.146,Minas Gerais,353076,0
1456,28,2,0.0,Rio de Janeiro,347024,0
7688,45,1,1310.3814,Minas Gerais,353256,1
4004,41,2,0.0,Rio de Janeiro,349572,0
6866,32,1,1974.3682,Rio de Janeiro,352434,0
4509,35,1,1399.7907,Minas Gerais,350077,0
3299,34,2,0.0,São Paulo,348867,0
3799,35,1,1664.9248,Rio de Janeiro,349367,0
4281,41,1,1121.5289,Rio de Janeiro,349849,0
9051,31,2,1058.646,Minas Gerais,354619,0
6462,57,2,0.0,São Paulo,352030,0
7912,35,1,1331.6195,São Paulo,353480,0
1414,30,1,1567.7168,Minas Gerais,346982,0
540,37,2,1512.2618,São Paulo,346108,0
5815,41,2,907.5764,Minas Gerais,351383,0
8199,32,2,1208.7973,São Paulo,353767,0
3680,22,1,0.0,Rio de Janeiro,349248,0
754,39,2,1667.3392,Rio de Janeiro,346322,0
4196,57,1,0.0,Rio de Janeiro,349764,1
